<persName n="manual">Aast</persName> or <persName n="manual">Asi</persName>	father of <persName n="rel"><persName n="Amrou" key="ent0365=12">Amrou</persName></persName>	ch51	v09p172	ent0001	persName	father of <persName n="rel"><persName n="Amrou" key="ent0365=12">Amrou</persName></persName>, 
<persName n="genname"><surname>Abgarus</surname> <genName n="5">V.</genName></persName>	<roleName>King of <placeName>Edessa</placeName></roleName>	ch49	v08p313	ent0032	persName	correspondence of with Christ, 
<persName n="qual2-son" type="son">Abibas</persName>	son of <persName n="rel"><persName n="Gamaliel" key="ent2682=1">Gamaliel</persName></persName>	ch28	v05p100	ent0033	persName	son of <persName n="rel"><persName n="Gamaliel" key="ent2682=1">Gamaliel</persName></persName>, body of, exhumed, 
<persName n="death">Ablavius</persName>	(Ablabius)	ch18	v03p180	ent0034	persName	(Ablabius), 
<persName n="death">Ablavius</persName>	(Ablabius)	ch18	v03p192	ent0034	persName	(Ablabius), 
<persName n="death">Ablavius</persName>	(Ablabius)	ch18	v03p194	ent0034	persName	death of, 
<persName n="death">Ablavius</persName>	(Ablabius)	ch21	v03p378	ent0034	persName	Praetorian Prefect, 
<persName n="death">Ablavius</persName>	(Ablabius)	ch24	v04p120	ent0034	persName	Praetorian Prefect, 
<name>Aboras or Araxes</name>	<ref type="volpage" target="ch07:v01p245">i.245</ref>; <ref type="volpage" target="ch13:v02p175">ii.175 and note</ref>.</p>
	ch07	v01p245	ent0035	noclass	
<name>Aboras or Araxes</name>	<ref type="volpage" target="ch07:v01p245">i.245</ref>; <ref type="volpage" target="ch13:v02p175">ii.175 and note</ref>.</p>
	ch13	v02p175	ent0035	noclass	
<persName n="rol4">Abrahah</persName>	<roleName>King of <rs type="ethnic">the Homes</rs></roleName>	ch42	v07p233	ent0036	persName	<roleName>King of <rs type="ethnic">the Homes</rs></roleName>, 
<persName n="rol4">Abrahah</persName>	<roleName>King of <rs type="ethnic">the Homes</rs></roleName>	ch46	v08p063	ent0036	persName	<roleName>King of <rs type="ethnic">the Homes</rs></roleName>, 
<persName n="rol4">Abrahah</persName>	<roleName>King of <rs type="ethnic">the Homes</rs></roleName>	ch45	v08p030	ent0036	persName	besieges <placeName n="Mecca" key="ent4206=14">Mecca</placeName>, 
<persName n="qual2-nephew" type="nephew">Abraham</persName>	nephew of <persName n="rel"><persName n="John Maron" key="ent4120=1">John Maron</persName></persName>	ch47	v08p199	ent0037	persName	nephew of <persName n="rel"><persName n="John Maron" key="ent4120=1">John Maron</persName></persName>, 
<name>Abraham</name>	opposes idolatry	ch50	v09p037	ent0038	noclass	opposes idolatry, 
<name>Abraham</name>	opposes idolatry	ch50	v09p039	ent0038	noclass	place of, in the <title n="Koran" key="ent3619=8">Koran</title>, 
<persName n="death">Abu-Ayub or Job</persName>	companion of <persName n="Mahomet the Prophet:Mahomet II:Mahomet I" key="ent3963=58:ent3962=31:ent3961=3">Mahomet</persName>	ch52	v09p239	ent0039	persName	companion of <persName n="Mahomet the Prophet:Mahomet II:Mahomet I" key="ent3963=58:ent3962=31:ent3961=3">Mahomet</persName>, death of, 
<persName n="death">Abu-Ayub or Job</persName>	companion of <persName n="Mahomet the Prophet:Mahomet II:Mahomet I" key="ent3963=58:ent3962=31:ent3961=3">Mahomet</persName>	ch68	v12p055	ent0039	persName	his grave (turbé), 
<persName type="author1">Abubeker</persName>	(Abu-Bekr)	ch50	v09p042	ent0040	persName	(Abu-Bekr), publishes <title n="Koran" key="ent3619=8">Koran</title>, 
<persName type="author1">Abubeker</persName>	(Abu-Bekr)	ch50	v09p066	ent0040	persName	at battle of <placeName n="Beder or Bedr" key="ent0953=1">Bedr</placeName>, 
<persName type="author1">Abubeker</persName>	(Abu-Bekr)	ch50	v09p054	ent0040	persName	spreads religion of <persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName>, 
<persName type="author1">Abubeker</persName>	(Abu-Bekr)	ch50	v09p058	ent0040	persName	flight of, from <placeName n="Mecca" key="ent4206=14">Mecca</placeName>, 
<persName type="author1">Abubeker</persName>	(Abu-Bekr)	ch50	v09p081	ent0040	persName	chosen by <persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName>, 
<persName type="author1">Abubeker</persName>	(Abu-Bekr)	ch50	v09p092	ent0040	persName	elected Caliph, 
<persName type="author1">Abubeker</persName>	(Abu-Bekr)	ch50	v09p093	ent0040	persName	death, 
<persName type="author1">Abubeker</persName>	(Abu-Bekr)	ch51	v09p112	ent0040	persName	conquers the <rs type="ethnic" n="Arabs" key="ent0530=37">Arabs</rs>, 
<persName type="author1">Abubeker</persName>	(Abu-Bekr)	ch51	v09p115	ent0040	persName	virtues of, 
<persName type="author1">Abubeker</persName>	(Abu-Bekr)	ch51	v09p134	ent0040	persName	invades <placeName n="Syria" key="ent6275=21">Syria</placeName>, 
<persName n="qual2-emir" type="emir">Abu-Caab</persName>	<roleName>emir of <rs type="ethnic">the Andalusian Arabs</rs></roleName>	ch52	v09p238	ent0041	persName	<roleName>emir of <rs type="ethnic">the Andalusian Arabs</rs></roleName>, 
<persName n="qual2-leader" type="leader">Abū-Hafs</persName>	leader of Sicilian rebels	ch56	v10p087	ent0042	persName	leader of Sicilian rebels, 
<persName type="author1">Abu-Horaira</persName>	on <persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName>	ch50	v09p032	ent0044	persName	on <persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName>, 
<persName type="author1">Abulfeda</persName>	<ref type="volpage" target="ch50:v09p008">ix.8</ref>.</p>
	ch50	v09p008	ent0045	persName	
<persName type="author1">Abulfeda</persName>	<ref type="volpage" target="ch50:v09p008">ix.8</ref>.</p>
	ch50	v09p031	ent0045	persName	era of, 
<persName type="author1">Abulfeda</persName>	<ref type="volpage" target="ch50:v09p008">ix.8</ref>.</p>
	ch50	v09p053	ent0045	persName	Arabic text of, edited by <persName n="M. Gagnier" key="ent2652=1">Gagnier</persName>, 
<persName type="author1">Abulfeda</persName>	<ref type="volpage" target="ch50:v09p008">ix.8</ref>.</p>
	ch50	v09p100	ent0045	persName	on burial of <persName n="Ali" key="ent0271=16">Ali</persName>, 
<persName type="author1">Abulfeda</persName>	<ref type="volpage" target="ch50:v09p008">ix.8</ref>.</p>
	ch50	v09p106	ent0045	persName	on the Fatimites, 
<persName type="author1">Abulfeda</persName>	<ref type="volpage" target="ch50:v09p008">ix.8</ref>.</p>
	ch51	v09p118	ent0045	persName	his <title n="manual">Annales Moslemici</title>, 
<persName type="author1">Abulfeda</persName>	<ref type="volpage" target="ch50:v09p008">ix.8</ref>.</p>
	ch52	v09p260	ent0045	persName	his account of Caliph Mervan, 
<persName type="author1">Abulfeda</persName>	<ref type="volpage" target="ch50:v09p008">ix.8</ref>.</p>
	ch52	v09p266	ent0045	persName	of Caliph Muktadir, 
<persName type="author1">Abulfeda</persName>	<ref type="volpage" target="ch50:v09p008">ix.8</ref>.</p>
	ch52	v09p298	ent0045	persName	on the Bedoween, 
<persName type="author1">Abulfeda</persName>	<ref type="volpage" target="ch50:v09p008">ix.8</ref>.</p>
	ch59	v10p294	ent0045	persName	family of, 
<persName type="author1">Abulfeda</persName>	<ref type="volpage" target="ch50:v09p008">ix.8</ref>.</p>
	ch59	v10p296	ent0045	persName	family of, 
<persName type="author1">Abulfeda</persName>	<ref type="volpage" target="ch50:v09p008">ix.8</ref>.</p>
	ch59	v10p326	ent0045	persName	family of, 
<persName type="author1">Abulfeda</persName>	<ref type="volpage" target="ch50:v09p008">ix.8</ref>.</p>
	ch61	v11p038	ent0045	persName	on the crusaders, 
<persName type="author1">Abulfeda</persName>	<ref type="volpage" target="ch50:v09p008">ix.8</ref>.</p>
	ch64	v11p134	ent0045	persName	fights against the <rs type="ethnic" n="Mongols or Moguls" key="ent4402=8">Moguls</rs>, 
<persName type="author1">Abulghazi Bahadur</persName>	History of the Tartars by	ch26	v04p263	ent0046	persName	History of the Tartars by, 
<persName type="author1">Abulghazi Bahadur</persName>	History of the Tartars by	ch26	v04p272	ent0046	persName	History of the Tartars by, 
<persName type="author1">Abulghazi Bahadur</persName>	History of the Tartars by	ch64	v11p130	ent0046	persName	on <persName n="Zingis Khan" key="ent7114=20">Zingis Khan</persName>, 
<persName type="author1">Abulghazi Bahadur</persName>	History of the Tartars by	ch64	v11p132	ent0046	persName	on <persName n="Zingis Khan" key="ent7114=20">Zingis Khan</persName>, 
<persName type="author1">Abulpharagius</persName>	or Gregory Bar Hebraeus	ch46	v08p089	ent0047	persName	or Gregory Bar Hebraeus, primate of the East, 
<persName type="author1">Abulpharagius</persName>	or Gregory Bar Hebraeus	ch47	v08p197	ent0047	persName	or Gregory Bar Hebraeus, primate of the East, 
<persName type="author1">Abulpharagius</persName>	or Gregory Bar Hebraeus	ch50	v09p005	ent0047	persName	on the <rs type="ethnic" n="Arabs" key="ent0530=37">Arabs</rs>, 
<persName type="author1">Abulpharagius</persName>	or Gregory Bar Hebraeus	ch51	v09p118	ent0047	persName	compendious History of, 
<persName type="author1">Abulpharagius</persName>	or Gregory Bar Hebraeus	ch51	v09p183	ent0047	persName	Dynasties of, 
<persName type="author1">Abulpharagius</persName>	or Gregory Bar Hebraeus	ch52	v09p270	ent0047	persName	on <persName n="Caliph Almamon" key="ent0288=9">Caliph Almamon</persName>, 
<persName type="author1">Abulpharagius</persName>	or Gregory Bar Hebraeus	ch64	v11p154	ent0047	persName	on the <rs type="ethnic" n="Mongols or Moguls" key="ent4402=8">Mongols</rs>, 
<persName n="rol4">Abu-l-Waled</persName>	<roleName>King of <placeName>Grenada</placeName></roleName>	ch51	v09p232	ent0048	persName	<roleName>King of <placeName>Grenada</placeName></roleName>, 
<persName n="heur1-rebel">Abu-Moslem</persName>	rebellion of	ch52	v09p259	ent0049	persName	rebellion of, 
<persName n="heur1-rebel">Abu-Moslem</persName>	rebellion of	ch52	v09p260	ent0049	persName	rebellion of, 
<persName n="rol4">Abuna</persName>	<roleName>head of <rs type="ethnic">the Abyssinian priesthood</rs></roleName>	ch47	v08p209	ent0050	persName	<roleName>head of <rs type="ethnic">the Abyssinian priesthood</rs></roleName>, 
<persName n="forename">Abundantius</persName>	exiled to Pityus by Eutropius	ch32	v05p294	ent0051	persName	exiled to Pityus by Eutropius, 
<persName n="heur1-Arab">Abu-Obeidah</persName>	commands Arabian army in Syria	ch51	v09p137	ent0052	persName	commands Arabian army in Syria, 
<persName n="heur1-Arab">Abu-Obeidah</persName>	commands Arabian army in Syria	ch51	v09p148	ent0052	persName	at taking of <placeName n="Damascus" key="ent2029=19">Damascus</placeName>, 
<persName n="heur1-Arab">Abu-Obeidah</persName>	commands Arabian army in Syria	ch51	v09p158	ent0052	persName	at battle of Yermuk, 
<persName n="heur1-Arab">Abu-Obeidah</persName>	commands Arabian army in Syria	ch51	v09p160	ent0052	persName	besieges <placeName n="Jerusalem" key="ent3402=31">Jerusalem</placeName>, 
<persName n="heur1-Arab">Abu-Obeidah</persName>	commands Arabian army in Syria	ch51	v09p163	ent0052	persName	besieges <placeName n="Jerusalem" key="ent3402=31">Jerusalem</placeName>, 
<persName n="heur1-Arab">Abu-Obeidah</persName>	commands Arabian army in Syria	ch51	v09p169	ent0052	persName	death, 
<persName n="qual2-servant" type="servant">Abu-Rafe</persName>	servant of <persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName>	ch50	v09p071	ent0053	persName	servant of <persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName>, 
<persName>Aba-Sa’id</persName>	<roleName>sultan</roleName>	ch65	v11p186	ent0054	persName	<roleName>sultan</roleName>, death of, 
<persName>Aba-Sa’id</persName>	<roleName>sultan</roleName>	ch65	v11p186	ent0054	persName	<roleName>sultan</roleName>, death of, 
<persName n="addn"><surname>Aba-S’id</surname></persName>	<addName>the Carmathian</addName>	ch52	v09p298	ent0055	persName	<addName>the Carmathian</addName>, 
<name>Abu Sophian</name>	[Abu-Sofyan ibn Harb]	ch50	v09p057	ent0056	noclass	[Abu-Sofyan ibn Harb], <roleName>prince of <placeName n="Mecca" key="ent4206=14">Mecca</placeName></roleName>, 
<name>Abu Sophian</name>	[Abu-Sofyan ibn Harb]	ch50	v09p068	ent0056	noclass	defeated by <persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName> 
<name>Abu Sophian</name>	[Abu-Sofyan ibn Harb]	ch50	v09p069	ent0056	noclass	commands expedition of the nations, 
<name>Abu Sophian</name>	[Abu-Sofyan ibn Harb]	ch50	v09p069	ent0056	noclass	besieges <placeName n="Medina" key="ent4213=7">Medina</placeName>, 
<name>Abu Sophian</name>	[Abu-Sofyan ibn Harb]	ch50	v09p073	ent0056	noclass	adopts religion of <persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName>, 
<name>Abu Sophian</name>	[Abu-Sofyan ibn Harb]	ch50	v09p076	ent0056	noclass	rewarded by <persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName>, 
<persName n="addn"><surname>Abu-Taher</surname></persName>	<addName>the Carmathian</addName>	ch52	v09p298	ent0057	persName	<addName>the Carmathian</addName>, 
<persName n="addn"><surname>Abu-Taher</surname></persName>	<addName>the Carmathian</addName>	ch52	v09p299	ent0057	persName	<addName>the Carmathian</addName>, 
<persName n="qual2-uncle" type="uncle">Abu-Taleb</persName>	uncle of <persName n="rel"><persName n="Mahomet the Prophet:Mahomet II:Mahomet I" key="ent3963=58:ent3962=31:ent3961=3">Mahomet</persName></persName>	ch52	v09p313	ent0058	persName	uncle of <persName n="rel"><persName n="Mahomet the Prophet:Mahomet II:Mahomet I" key="ent3963=58:ent3962=31:ent3961=3">Mahomet</persName></persName>, 
<persName n="qual2-uncle" type="uncle">Abu-Taleb</persName>	uncle of <persName n="rel"><persName n="Mahomet the Prophet:Mahomet II:Mahomet I" key="ent3963=58:ent3962=31:ent3961=3">Mahomet</persName></persName>	ch50	v09p032	ent0058	persName	uncle of <persName n="rel"><persName n="Mahomet the Prophet:Mahomet II:Mahomet I" key="ent3963=58:ent3962=31:ent3961=3">Mahomet</persName></persName>, 
<persName n="death">Abu-Taleb</persName>	read Abu Lahab	ch50	v09p056	ent0059	persName	read Abu Lahab, uncle of <persName n="rel"><persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName></persName>, 
<persName n="death">Abu-Taleb</persName>	read Abu Lahab	ch50	v09p057	ent0059	persName	death of, 
<placeName n="manual">Abydus</placeName>	<ref type="volpage" target="ch17:v03p095">iii.95</ref>.</p>
	ch17	v03p095	ent0060	placeName	
<placeName n="qual1-fair" type="fair">Abyla</placeName>	fair of	ch51	v09p151	ent0061	placeName	fair of, 
<placeName n="qual1-fair" type="fair">Abyla</placeName>	fair of	ch51	v09p152	ent0061	placeName	fair of, 
<placeName n="space-at-comma">Abyssinia</placeName>	Church of	ch15	v02p273	ent0062	placeName	Church of, 
<placeName n="space-at-comma">Abyssinia</placeName>	Church of	ch47	v08p209	ent0062	placeName	Church of, 
<placeName n="space-at-comma">Abyssinia</placeName>	Church of	ch20	v03p311	ent0062	placeName	christianised, 
<placeName n="space-at-comma">Abyssinia</placeName>	Church of	ch40	v07p036	ent0062	placeName	trade of, 
<placeName n="space-at-comma">Abyssinia</placeName>	Church of	ch42	v07p231	ent0062	placeName	described by <persName n="Cosmas Indicopleustes" key="ent1881=4">Cosmas</persName>, 
<placeName n="space-at-comma">Abyssinia</placeName>	Church of	ch47	v08p183	ent0062	placeName	Greek speech in, 
<placeName n="space-at-comma">Abyssinia</placeName>	Church of	ch47	v08p210	ent0062	placeName	<rs type="ethnic" n="Portuguese" key="ent5218=4">Portuguese</rs> in, 
<rs type="ethnic" n="manual">Abyssinians</rs>	conquered	ch42	v07p230	ent0063	rs-ethnic	conquered, 
<rs type="ethnic" n="manual">Abyssinians</rs>	conquered	ch42	v07p232	ent0063	rs-ethnic	their alliance with <persName n="Justinian I" key="ent3538=67">Justinian</persName>, 
<rs type="ethnic" n="manual">Abyssinians</rs>	conquered	ch47	v08p208	ent0063	rs-ethnic	an Arab race, 
<persName n="rol4">Acacius</persName>	<roleName>Bishop of <placeName>Amida</placeName></roleName>	ch32	v05p330	ent0064	persName	<roleName>Bishop of <placeName>Amida</placeName></roleName>, redeems the Persian captives, 
<persName n="qual2-leader" type="leader">Acacius</persName>	leader of the <rs type="sect" n="Homoeans" key="ent3155=1">Homoeans</rs>	ch21	v03p363	ent0065	persName	leader of the <rs type="sect" n="Homoeans" key="ent3155=1">Homoeans</rs>, 
<persName n="heur1-master">Acacius</persName>	master of the bears	ch40	v07p010	ent0066	persName	master of the bears, 
<persName n="qual2-patriarch" type="patriarch">Acacius</persName>	<roleName>Patriarch of <placeName>Constantinople</placeName></roleName>	ch39	v06p303	ent0067	persName	<roleName>Patriarch of <placeName>Constantinople</placeName></roleName>, 
<persName n="qual2-patriarch" type="patriarch">Acacius</persName>	<roleName>Patriarch of <placeName>Constantinople</placeName></roleName>	ch47	v08p163	ent0067	persName	draws up the <title n="Henoticon" key="ent3040=1">Henoticon</title>, 
<name>Academics</name>	<ref type="volpage" target="ch02:v01p038">i.38</ref>. </p>
	ch02	v01p038	ent0068	noclass	
<name>Academy of the Platonists at Athens</name>	<ref type="volpage" target="ch40:v07p076">vii.76</ref>.</p>
	ch40	v07p076	ent0069	noclass	
<rs type="ethnic" n="manual">Acatzires</rs>	<ref type="volpage" target="ch34:v06p018">vi.18</ref>.</p>
	ch34	v06p018	ent0070	rs-ethnic	
<rs type="ethnic" n="manual">Acatzires</rs>	<ref type="volpage" target="ch34:v06p018">vi.18</ref>.</p>
	ch35	v06p076	ent0070	rs-ethnic	ruled over by <persName n="Ellac" key="ent2314=2">Ellac</persName>, son of <persName n="rel"><persName n="Attila" key="ent0725=36">Attila</persName></persName>, 
<rs n="qual1-family" type="family">Accaioli</rs>	Italian family of	ch62	v11p092	ent0071	rs-family	Italian family of, in <placeName n="Greece" key="ent2871=8">Greece</placeName>, 
<persName type="author1">Accarias</persName>	on <rs type="law" n="Roman law of Incest:Roman law of Inheritance:Roman law of Interest:Roman law of Property" key="ent3276=2:ent3291=2:ent3304=2:ent5304=2">Roman law</rs>	ch44	v07p302	ent0072	persName	on <rs type="law" n="Roman law of Incest:Roman law of Inheritance:Roman law of Interest:Roman law of Property" key="ent3276=2:ent3291=2:ent3304=2:ent5304=2">Roman law</rs>, 
<persName type="author1">Accarias</persName>	on <rs type="law" n="Roman law of Incest:Roman law of Inheritance:Roman law of Interest:Roman law of Property" key="ent3276=2:ent3291=2:ent3304=2:ent5304=2">Roman law</rs>	ch44	v07p319	ent0072	persName	on <rs type="law" n="Roman law of Incest:Roman law of Inheritance:Roman law of Interest:Roman law of Property" key="ent3276=2:ent3291=2:ent3304=2:ent5304=2">Roman law</rs>, 
<rs>Greek Accents</rs>	<ref type="volpage" target="ch66:v11p286">xi.286</ref>.</p>
	ch66	v11p286	ent0073	noclass	
<name>Acclamations</name>	addressed to Greek Emperors	ch53	v09p344	ent0074	noclass	addressed to Greek Emperors, 
